VideoSensor-00001 0 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00002 1 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00003 2 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00004 3 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00005 4 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00006 5 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00001 0 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00002 1 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00003 2 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00004 3 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00005 4 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00006 5 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00001 0 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00002 1 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00003 2 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00004 3 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00005 4 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00006 5 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00007 6 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00008 7 rtsp://192.168.26.214:5554/HotelCircle
VideoSensor-00009 8 rtsp://192.168.26.214:5554/HotelCircle
